,BusinessPersonName,DetailsLinks
208,Pratap Govindrao Pawar,https://en.wikipedia.org//wiki/Pratap_Govindrao_Pawar
209,B. Ravi Pillai,https://en.wikipedia.org//wiki/B._Ravi_Pillai
210,Chinna Pillai,https://en.wikipedia.org//wiki/Chinna_Pillai
211,K. M. Vasudevan Pillai,https://en.wikipedia.org//wiki/K._M._Vasudevan_Pillai
212,Nadakkal Parameswaran Pillai,https://en.wikipedia.org//wiki/Nadakkal_Parameswaran_Pillai
213,V. O. Chidambaram Pillai,https://en.wikipedia.org//wiki/V._O._Chidambaram_Pillai
214,V. I. Munuswamy Pillai,https://en.wikipedia.org//wiki/V._I._Munuswamy_Pillai
215,Swati Piramal,https://en.wikipedia.org//wiki/Swati_Piramal
216,Sam Pitroda,https://en.wikipedia.org//wiki/Sam_Pitroda
217,Bimla Poddar,https://en.wikipedia.org//wiki/Bimla_Poddar
218,Cyrus S. Poonawalla,https://en.wikipedia.org//wiki/Cyrus_S._Poonawalla
219,Jaswantiben Jamnadas Popat,https://en.wikipedia.org//wiki/Jaswantiben_Jamnadas_Popat
220,Prahlad Rai Agarwala,https://en.wikipedia.org//wiki/Prahlad_Rai_Agarwala
221,A. D. S. N. Prasad,https://en.wikipedia.org//wiki/A._D._S._N._Prasad
222,Chandra Bhan Prasad,https://en.wikipedia.org//wiki/Chandra_Bhan_Prasad
223,Sivalenka Krishna Prasad,https://en.wikipedia.org//wiki/Sivalenka_Krishna_Prasad
224,V. B. Rajendra Prasad,https://en.wikipedia.org//wiki/V._B._Rajendra_Prasad
225,Lakshmi Pratury,https://en.wikipedia.org//wiki/Lakshmi_Pratury
226,Azim Premji,https://en.wikipedia.org//wiki/Azim_Premji
227,Aroon Purie,https://en.wikipedia.org//wiki/Aroon_Purie
228,B. V. Radha,https://en.wikipedia.org//wiki/B._V._Radha
229,Radhika Sarathkumar,https://en.wikipedia.org//wiki/Radhika_Sarathkumar
230,Ramji Raghavan,https://en.wikipedia.org//wiki/Ramji_Raghavan
231,Subir Raha,https://en.wikipedia.org//wiki/Subir_Raha
232,Fazal Rahimtoola,https://en.wikipedia.org//wiki/Fazal_Rahimtoola
233,G. V. Raja,https://en.wikipedia.org//wiki/G._V._Raja
234,T. P. Rajalakshmi,https://en.wikipedia.org//wiki/T._P._Rajalakshmi
235,Chinnaswami Rajam,https://en.wikipedia.org//wiki/Chinnaswami_Rajam
236,M. V. Rajamma,https://en.wikipedia.org//wiki/M._V._Rajamma
237,Latha Rajinikanth,https://en.wikipedia.org//wiki/Latha_Rajinikanth
238,Soundarya Rajinikanth,https://en.wikipedia.org//wiki/Soundarya_Rajinikanth
239,Parvathamma Rajkumar,https://en.wikipedia.org//wiki/Parvathamma_Rajkumar
240,D. V. S. Raju,https://en.wikipedia.org//wiki/D._V._S._Raju
241,Gopal Raju,https://en.wikipedia.org//wiki/Gopal_Raju
242,C. Lakshmi Rajyam,https://en.wikipedia.org//wiki/C._Lakshmi_Rajyam
243,D. Ramanaidu,https://en.wikipedia.org//wiki/D._Ramanaidu
244,Vadde Ramesh,https://en.wikipedia.org//wiki/Vadde_Ramesh
245,Lakhvinder Singh Rana,https://en.wikipedia.org//wiki/Lakhvinder_Singh_Rana
246,Bhaskar Rao Bollineni,https://en.wikipedia.org//wiki/Bhaskar_Rao_Bollineni
247,Moturu Hanumantha Rao,https://en.wikipedia.org//wiki/Moturu_Hanumantha_Rao
248,Ramoji Rao,https://en.wikipedia.org//wiki/Ramoji_Rao
249,Nagi Reddi,https://en.wikipedia.org//wiki/Nagi_Reddi
250,K. I. Varaprasad Reddy,https://en.wikipedia.org//wiki/K._I._Varaprasad_Reddy
251,Prathap C. Reddy,https://en.wikipedia.org//wiki/Prathap_C._Reddy
252,Abis Rizvi,https://en.wikipedia.org//wiki/Abis_Rizvi
253,Bunker Roy,https://en.wikipedia.org//wiki/Bunker_Roy
254,Radhika Roy,https://en.wikipedia.org//wiki/Radhika_Roy
255,Subrata Roy,https://en.wikipedia.org//wiki/Subrata_Roy
256,Ramnarain Ruia,https://en.wikipedia.org//wiki/Ramnarain_Ruia
257,S. M. Nayagam,https://en.wikipedia.org//wiki/S._M._Nayagam
258,Madan Mohan Sabharwal,https://en.wikipedia.org//wiki/Madan_Mohan_Sabharwal
259,Kunwer Sachdev,https://en.wikipedia.org//wiki/Kunwer_Sachdev
260,Deepa Sahi,https://en.wikipedia.org//wiki/Deepa_Sahi
261,Rizwan Sajan,https://en.wikipedia.org//wiki/Rizwan_Sajan
262,Shobhna Samarth,https://en.wikipedia.org//wiki/Shobhna_Samarth
263,Meera Sanyal,https://en.wikipedia.org//wiki/Meera_Sanyal
264,Meenakshi Sargogi,https://en.wikipedia.org//wiki/Meenakshi_Sargogi
265,Chiki Sarkar,https://en.wikipedia.org//wiki/Chiki_Sarkar
266,Kalpana Saroj,https://en.wikipedia.org//wiki/Kalpana_Saroj
267,Mathur Savani,https://en.wikipedia.org//wiki/Mathur_Savani
268,Savitri (actress),https://en.wikipedia.org//wiki/Savitri_(actress)
269,Ronnie Screwvala,https://en.wikipedia.org//wiki/Ronnie_Screwvala
270,Zarina Screwvala,https://en.wikipedia.org//wiki/Zarina_Screwvala
271,Binod Sethi,https://en.wikipedia.org//wiki/Binod_Sethi
272,Tekkatte Narayan Shanbhag,https://en.wikipedia.org//wiki/Tekkatte_Narayan_Shanbhag
